text,entities
"i came here for my birthday celebration and enjoyed the foods and service here. great for special occasions. we had a dinner reservation at pm on sunday. we arrived ish and enjoyed before dinner drink at the bar. this bar is so classic and nice. there was many people enjoying drinks and chat. i ordered harris old fashioned. i got the strongest and classic old fashioned here. my bf got martini. many ppl got martini actually. they gave him a refill bottle. around , we moved to a dinner table. the service was great. actually i got tipsy and left my cardigan at the bar but they found it is mine and brought it to the dinner table. at , there was not many ppl but after , it got busy even sunday night. i ordered prime rib. it was fantastic. gigantic. juicy and tender. went great with red wine we got sauvignion blank. most of customers here were classic, quiet, a little senior than other sf restaurants.","[(311, 324, 'FOOD'), (358, 371, 'FOOD'), (388, 395, 'FOOD'), (410, 417, 'FOOD'), (715, 724, 'FOOD'), (788, 796, 'FOOD'), (804, 820, 'FOOD')]"
"sooo celebrating a year and a half anniversary yes, we are one of those couples. the boothang brought me here because he knew that i've been craving prime rib for months since house of prime rib been there done that a went for my birthday but ran out of prime rib .so i guess the next place to try was harris' after we were seated and got our menus, we were served some warm, crunchy bread slices with butter and a dipping sauce sorry i forgot what it was . after we ordered our food, we got the delicious, fresh, hot, awesome, big bread. it was some really good bread. trust. soup of the day it was lobster bisque so we had to get it. the portion was pretty big, to our surprise. worth it. i'm not going to lie, i was about half way full by the time i was done with this. it was pretty decent, but leaned towards the light side, flavorwise. i was expecting boom, lobster in every scoop, but it was more of a subtle tap on the tongue. my descriptions are not making sense anymore huh lol sorry mr.boothang did say that it did not taste like maine lobster though. apparently it was very similar to the lobster he had in santorini. roast prime rib regular cut oz , executive cut on the bone oz comes with creamed spinach and your choice of baked potato or the evening's potato, which was mashed potato for us. i did not feel like being a fatty that night, so i opted for the regular cut, and my boyfriend got the executive. if you are not extremely hungry, having been starved for a few days, then just stick with the regular cut. when the executive was placed on the table, our eyes popped. i thought to myself heh, what can i do with a boyfriend suffering from food coma a steal his wallet and run since he will be too full to run after me b steal his wallet and run since he will be too full to run after me or. c steal his wallet and run since he will be too full to run after me. but jokes aside, the prime rib was pretty good. we both got it prepared rare, but it is more of a medium rare in my opinion, if it even matters to you. the meat was slightly tough, just a little bit. served with au jus, every bite was pretty good. i think the house of prime rib still has the best prime rib, and it is cheaper, but my boyfriend likes the prime rib at harris' more. is this a sign in our relationship, perhaps haha jk the two sides were great! the creamed spinach was very tasty mm mm mm. the mashed potatoes were not anything special, but the one thing that stood out was its smoothness. like a baby's bottom. we were way too full after our main course so we did not order any desserts. we only managed to finish half of our food. but hey, that means prime rib for lunch the next day d","[(149, 158, 'FOOD'), (185, 194, 'FOOD'), (254, 263, 'FOOD'), (384, 408, 'FOOD'), (532, 537, 'FOOD'), (563, 568, 'FOOD'), (577, 581, 'FOOD'), (600, 614, 'FOOD'), (864, 871, 'FOOD'), (1047, 1054, 'FOOD'), (1101, 1108, 'FOOD'), (1136, 1145, 'FOOD'), (1203, 1218, 'FOOD'), (1238, 1250, 'FOOD'), (1286, 1299, 'FOOD'), (1904, 1913, 'FOOD'), (2095, 2101, 'FOOD'), (2152, 2161, 'FOOD'), (2181, 2190, 'FOOD'), (2238, 2247, 'FOOD'), (2347, 2362, 'FOOD'), (2392, 2407, 'FOOD'), (2651, 2660, 'FOOD')]"
"the pizza is very good. however, their customer service leaves a little to be desired if you are trying to order for take out. we have tried on numerous occasions to order from there. it seems as if they try to discourage people from ordering to go by stating that it will take an hour, or an hour and a half. the last straw was a little over a week ago. i called shortly after pm to order a pizza. they told me it will not be ready until pm, is that okay i said that is okay, but thanks anyway and hung up the phone. then my mother tried to order a pizza from them a couple of days later around pm. the person answering the phone told her that they are not doing any take out orders for the rest of the day. she told them we have tried to order a couple of days ago, and that is bad business. i take it from the reviews listed on here that they are doing so well that they do not care about our business. since it is such an issue for them, they should just state that they do not accept take out orders and it is dine in only, then the problem would be solved.","[(4, 9, 'FOOD'), (392, 397, 'FOOD'), (550, 555, 'FOOD')]"
"meh could have been a star but the people at the front reception & servers were whatevers. at a restaurant like this i expect the best service but the people here did not seem like they liked their jobs or wanted to do their jobs except the last server we ended up with. she was nice. stars because food was good enough because the last waitress was nice but i would not say service was super spectacular. could definitely use your money elsewhere if service is like this all the time ^_^ my boyfriend and i came here and it was super cold. they sat us at a small booth where the wind would blow every time someone opened the front door. we asked to be moved and there were clearly two other tables a little more away from the door but they seemed less than willing to move us. a bigger booth opened up and i wanted to sit there but the waiter and front reception person did not let us because there should be a reservation for a bigger party or something. they finally moved us to one of the other open tables because i was being pushy. well lol another couple, a pair of two got seated in the bigger booth minutes after it was cleaned when they told us we could not sit there because it was reserved for a bigger party. food creamed spinach, scalloped potatoes & filet mignon were amazing steak was cooked to the perfect med rare sauteed broccoli and baked potato. i mean you cannot really go wrong or make it badly. rib eye was a little over cooked otherwise good bread and butter sucks here overall whatever exp. definitely can get good food and better service else where","[(1227, 1242, 'FOOD'), (1244, 1262, 'FOOD'), (1265, 1277, 'FOOD'), (1291, 1296, 'FOOD'), (1332, 1348, 'FOOD'), (1353, 1365, 'FOOD'), (1419, 1426, 'FOOD'), (1467, 1472, 'FOOD'), (1467, 1483, 'FOOD')]"
"a solid steakhouse in sf if you are craving red meat, you have come to the right place. it is a nice restaurant with attentive service, nice ambiance and dim lighting. classic steakhouse vibes. overall a satisfying meal! beyond the steaks, the sides were very good creamed spinach was excellent. i also had the foie gras added to my steak but would not add it next time as it did not really stand out. portions are very generous so be prepared to roll out once you are done! oh and the wine selection was also nice, many local californian options to choose from!","[(232, 238, 'FOOD'), (265, 280, 'FOOD'), (311, 320, 'FOOD'), (333, 338, 'FOOD'), (486, 490, 'FOOD')]"
"on the way back home from work, my parents had the most awesome whim to have steak for dinner b c they were too tired to cook.and within minutes we found ourselves at harris' xd simple, clean, classic these words immediately came to mind as i walked into the place and we were seated right away in the piano lounge with live jazz playing. to start off, we were served crostini with cheese spread and warm pain epi supplied from acme bread co., both were good and the latter was exceptional with its crunchy exterior and fluffy texture. next up we had the traditional onion soup and the daily special mushroom clam bisque. both were well done and i especially liked the bisque with the copious bits of clam and smooth mushroom flavor at the end of each spoonful. now, the entrees steak diane, pan roasted breast of chicken with a sherry glaze, and atlantic grilled salmon with champagne sauce. wow, just.wow. the execution of these dishes was simply extraordinary and the chicken and salmon, in fact, have set a new personal standard against which all future poultry and fish dishes will be compared d the filet mignon was literally meltinyourmouth and perfectly complemented by the cognac and shallot demi glace. the chicken breast was so juicy, rounded out by a delicious, zesty seasoning. finally, the salmon was so tender that it had an outright creamy texture to it upon first bite. for dessert, we tried the guinness chocolate cake and classic creme brulee. the cake turned out to be only okay somewhat bland butterscotch frosting and dry texture. the guinness ice cream though, was fantastic and tasted exactly like the stout no more, no less. the creme brulee was very smooth and creamy, but i would have appreciated having it served colder rather than at room temperature. lastly, the service here was some of the best i've seen yet extremely wellmannered, great awareness and timing with orders and refills, and even the maitre d' and bread water server came by to ask how our food was! suffice it to say, harris' was by far one of the most impressive meals i've had in recent years and i look forward to my next visit. best impromptu steak dinner ever","[(77, 82, 'FOOD'), (368, 395, 'FOOD'), (567, 577, 'FOOD'), (600, 620, 'FOOD'), (669, 675, 'FOOD'), (779, 784, 'FOOD'), (779, 790, 'FOOD'), (792, 841, 'FOOD'), (847, 891, 'FOOD'), (971, 978, 'FOOD'), (983, 989, 'FOOD'), (1105, 1117, 'FOOD'), (1182, 1188, 'FOOD'), (1193, 1211, 'FOOD'), (1217, 1224, 'FOOD'), (1304, 1310, 'FOOD'), (1413, 1436, 'FOOD'), (1449, 1461, 'FOOD'), (1514, 1535, 'FOOD'), (1557, 1575, 'FOOD'), (1654, 1666, 'FOOD'), (2144, 2149, 'FOOD')]"
"my two favorite things in life meat and alcohol. with that said, the girlfriend brought me here for a surprise birthday dinner with reservations at on a thursday evening. we were about minutes late, but were seated right away in a booth large enough for or , as some diners that had to who showed up later since the restaurant was packed. what we had eagle rare manhattan must must order, strong and smooth, plus it comes with a little carafe on ice for an extra serving. exclusive single barrel bourbon whiskey crafted especially for harris . perfection in every way, i'm daydreaming about it as i type this review. complimentary bread and crostini with cream cheese dip steamed clams mariniere nothing special, kind of disappointing as the sauce was salty and too watery. huge portion enough to share for or though. porterhouse grilled medium rare to perfection, full of flavor, and cut was large enough for a bomb steak lunch the next day pepper steak the gf ordered this and loved the sauce that accompanied the new york strip sauteed button mushrooms waiter forgot this, but we were glad since the portions at harris were so large we both opted for the scalloped potatoes instead of baked since most yelp reviews said the baked potato was plain. dessert baked alaska best one i've had so far and came with a candle for my bday which was a nice touch. ambiance more old school and classic with large leather booths. the high booths created a sense of space and privacy compared to the more cramp tables of other restaurants such as gary danko. one of the most comfortable and enjoyable dining experiences i have had. we spent almost hours dining conversating and the staff kept refilling our water and never once hurried us along. the staff also checks up on you without hovering or interrupting. parking valet for but we found street parking on the same block. total bill ~ notes . stars. free matches, postcard, and also peanut brittle at the front. wish they had a larger variety more creative sides to accompany the meat. definite stars if not for that. ranking in regards to steak meat only thus far in the city . alexander's . harris . house of prime rib . ruth chris . a . gary danko . izzy's","[(351, 371, 'FOOD'), (482, 511, 'FOOD'), (631, 636, 'FOOD'), (641, 671, 'FOOD'), (672, 695, 'FOOD'), (818, 829, 'FOOD'), (942, 954, 'FOOD'), (1031, 1055, 'FOOD'), (1158, 1176, 'FOOD'), (1259, 1271, 'FOOD'), (1927, 1941, 'FOOD')]"
harris i feel shameful for giving other places five stars if this place is the benchmark service meal ambiance pay at the table electronic check i always get the lobster with clams my wife get the petite filet mignon she also is not really a meat lover but says this was her second best steak. this place is great old world charm hopefully it never changes. classy restaurant with the food and service to back it up. it is a win all the way around!,"[(162, 180, 'FOOD'), (197, 216, 'FOOD'), (287, 292, 'FOOD')]"
"a great option when you are looking for classic new york style pizza. this spot may seem new, but it has an interesting history that is woven into the history of new york pizza itself. the original grimaldi's pizza used to be located in this spot, before grimaldi sold it and the new owners moved it to a new place next door. now grimaldi is back same pizza, same original location, different name. the masses are clued in and there are regularly long, long lines to eat here. grimaldi's is still next door and often a faster option. the pizza here is thinner and tastes a little higher quality ingredients, but both are delicious. the best thing to know about juliana's is that they do takeout! call ahead, pick up your pizza in a bag no boxes , and walk out to the water to enjoy two of new york's best things at once the pizza and the views!","[(40, 68, 'FOOD'), (162, 176, 'FOOD'), (171, 176, 'FOOD'), (209, 214, 'FOOD'), (352, 357, 'FOOD'), (538, 543, 'FOOD'), (721, 726, 'FOOD'), (824, 829, 'FOOD')]"
"the roommate's birthday and mine are a day apart. yes, i have to share my birthday month with him! for our birthdays in september , i decided we should go to harris. he loves steak, i love meat, and we have never been here before. perfect time to try it out. it was super easy getting a reservation for two thru opentable. since this was on the roommate, he said order whatever i want. why, do not mind if i do! i did show a little restraint as i was hungry and everything sounded delicious! bread yelp.com biz_photos harr grey goose martini up with olives yelp.com biz_photos harr crab cakes yelp.com biz_photos harr prawn cocktail yelp.com biz_photos harr iceberg lettuce salad yelp.com biz_photos harr soup of the day clam and mushroom bisque yelp.com biz_photos harr pepper steak yelp.com biz_photos harr porterhouse steak yelp.com biz_photos harr sauteed button mushrooms yelp.com biz_photos harr creme brulee yelp.com biz_photos harr i loved the martini as it was a generous pour with some on the side for good measure. my favorite app was the prawn cocktail. the prawns were nicely cooked and a good size. i also enjoyed the wedge salad. the iceberg was crisp and fresh and the ranch dressing was nice and creamy. the steaks however, were not as good as i thought they would be. maybe something with the taste of meat as it is aged, but i thought the porterhouse tasted a little off. i've had aged steaks elsewhere and loved them so i'm not sure if l just did not prefer their aged flavor. the steak was cooked to a nice rare to medium rare though, which is what i asked for. i might go back to give them another shot, but for a steakhouse, i wanted their meat to be better. maybe next time it will be!","[(175, 180, 'FOOD'), (492, 497, 'FOOD'), (523, 541, 'FOOD'), (582, 592, 'FOOD'), (618, 632, 'FOOD'), (658, 679, 'FOOD'), (721, 745, 'FOOD'), (771, 783, 'FOOD'), (778, 783, 'FOOD'), (809, 826, 'FOOD'), (821, 826, 'FOOD'), (852, 876, 'FOOD'), (902, 914, 'FOOD'), (952, 959, 'FOOD'), (1050, 1064, 'FOOD'), (1070, 1076, 'FOOD'), (1132, 1143, 'FOOD'), (1149, 1156, 'FOOD'), (1225, 1231, 'FOOD'), (1358, 1369, 'FOOD'), (1405, 1411, 'FOOD'), (1501, 1506, 'FOOD')]"
"hostess our waitress everyone else who helped bring out the food, cleared the table and helped us box our food our waitress never introduced herself and was not very friendly. when she came by with the dessert menu she simply placed it in front of us while looking behind her at the other table then walked away. no joke, there was no eye contact. she was overall aloof. i doubled the tax for tips to be honest i wanted to tip even less but i know part of it goes to bus boys as well as kitchen staff. food crab cakes special of the day fried scallop the porterhouse with cracked pepper special of the day bone in veal creme brulee cheesecake although the writing on the desserts beautiful! my stars is basically for the steaks. harris has always been my favorite but after this last visit i think we will be sticking to ruth's chris steakhouse down the street. always friendly customer service good steaks, good appetizers and a bonus creme brulee is yummy!","[(507, 517, 'FOOD'), (537, 550, 'FOOD'), (555, 586, 'FOOD'), (606, 618, 'FOOD'), (619, 631, 'FOOD'), (632, 642, 'FOOD'), (721, 727, 'FOOD'), (900, 906, 'FOOD'), (936, 948, 'FOOD')]"
"food . . service . . value . . decor . . overall . . big fan of harris'. great old school steakhouse serving great steaks. what gets me about the place is why they bother to run such a diluted menu by serving anything other than dry aged prime beef it is a bit like trying to navigate a minefield going down the menu. otherwise, all thumbs.","[(115, 121, 'FOOD'), (229, 248, 'FOOD')]"
"i do not take pride in writing this review, due to the excellent reviews that we we excited to experience, but here goes. great first impression, a gentleman greeted us and let us know a top would be open in a few minutes. he pointed to the pizza bar right in the middle end of the restaurant where two spinners were open. upon sitting down the lady to my left said her son was sitting there. bummer. the host let us know it should only be a few more minutes for a solo table off to the right. minutes later we were sat on the left hand side, they separated a four top by inches and sat against the wall. intimacy does not come to mind. we order right away lg margarita half pepperoni and water with lemon. shortly after a lady brings out a steaming hot pizza, full pepperoni. we advise them of the error and our server comes back, asks if it was half pep then gives me a look and walks away. rude and inappropriate, especially without and apology. we go out for an experience and this was one of the worst we have had in ny. for a pizza and we got treated like they did not want us there. honestly, i have had better slices in manhattan.","[(241, 246, 'FOOD'), (660, 684, 'FOOD'), (754, 759, 'FOOD'), (766, 775, 'FOOD'), (1032, 1037, 'FOOD')]"
